Column1;nombre_programa;IES;fecha_consulta;url
0;MAESTRÍA EN ARQUITECTURA CON MENCIÓN EN DISEÑO DEL PAISAJEMODALIDAD PRESENCIALRPC-SO-07-No.100-2019;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143453/
1;MAESTRÍA EN DERECHO CONSTITUCIONALMODALIDAD PRESENCIALRPC-SO-13-No.261-2020;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143341/
2;MAESTRÍA EN INGENIERÍA DE LA CONSTRUCCIÓNMODALIDAD PRESENCIALRPC-SO-20-No.426-2020;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/maestria-ingenieria-de-la-construccion/
3;MAESTRÍA EN GERENCIA DE SISTEMAS Y TECNOLOGÍA EMPRESARIALMODALIDAD PRESENCIALRPC-SO-12-No.341-2021;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143463/
4;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓNMODALIDAD PRESENCIALRPC-SO-12-No.341-2021;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143464/
5;MAESTRÍA EN TRABAJO SOCIAL CON MENCIÓN EN GESTIÓN SOCIAL LABORALMODALIDAD PRESENCIALRPC-SO-15-No.410-2021;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143468/
6;MAESTRÍA EN RELACIONES INTERNACIONALESMODALIDAD PRESENCIALRPC-SO-09-No.150-2022;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143528/
7;MAESTRÍA EN CONTABILIDAD Y FINANZASMODALIDAD PRESENCIALRPC-SO-35-No.799-2021;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143457/
8;MAESTRÍA EN ARQUITECTURAMODALIDAD PRESENCIALRPC-SO-23-No.512-2020;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143380
9;MAESTRÍA EN CONTABILIDAD Y AUDITORIA CON MENCIÓN EN GESTIÓN TRIBUTARIAMODALIDAD HÍBRIDARPC-SO-20-No.426-2020;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143461/
