,nombre_programa,precio_matric,precio_aran,precio_ins,modalidad_prog,duracion,IES,url,fecha_consulta
0,Tecnología Superior Universitaria en Educación Inicial,"Prueba de Admisión - Emotional Cognitive CordilleraTest - ECCT$55,00Inscripción$7,50$7,50Matrícula$80,00$80,00$80,00$80,00$80,00$80,00$480,00Arancel*$800,00$800,00$800,00$800,00$1.280,00$1.280,00$5.760,00",['no hay precio :('],['no hay precio :('],Modalidad: presencial,Duración: 6 semestres,cordillera,https://www.cordillera.edu.ec/oferta-academica/tecnologia-superior-universitaria-en-educacion-inicial/,2024-05-06 15:48:30.160276
1,Tecnología Superior Universitaria en Optometría,"Prueba de Admisión - Emotional Cognitive CordilleraTest - ECCT$55,00Inscripción$7,50$7,50Matrícula$87,50$87,50$87,50$87,50$87,50$87,50$525,00Arancel*$875,00$875,00$875,00$875,00$1.355,00$1.355,00$6.210,00",['no hay precio :('],['no hay precio :('],Modalidad: Presencial,Duración: 6 semestres,cordillera,https://www.cordillera.edu.ec/oferta-academica/tecnologia-superior-universitaria-en-optometria/,2024-05-06 15:48:31.188734
2,Tecnología Superior en Diseño Gráfico y Multimedia,"Prueba de Admisión - Emotional Cognitive CordilleraTest - ECCT$55,00Inscripción$7,50$7,50Matrícula$74,50$74,50$74,50$74,50$298,00Arancel*$745,00$745,00$1.225,00$1.225,00$3.940,00",['no hay precio :('],['no hay precio :('],Modalidad: Presencial,Duración: 4 semestres,cordillera,https://www.cordillera.edu.ec/oferta-academica/tecnologia-superior-en-diseno-grafico-y-multimedia/,2024-05-06 15:48:32.165683
3,Tecnología Superior en Desarrollo de Software,"Prueba de Admisión - Emotional Cognitive CordilleraTest - ECCT$55,00Inscripción$7,50$7,50Matrícula$71,50$71,50$71,50$71,50$286,00Arancel*$715,00$715,00$1.195,00$1.195,00$3.820,00",['no hay precio :('],['no hay precio :('],Modalidad: Presencial.,Duración: 4 semestres,cordillera,https://www.cordillera.edu.ec/oferta-academica/tecnologia-superior-en-desarrollo-de-software/,2024-05-06 15:48:33.194094
4,Tecnología Superior en Marketing Digital y Comercio Electrónico,"Prueba de Admisión - Emotional Cognitive CordilleraTest - ECCT$55,00Inscripción$7,50$7,50Matrícula$71,50$71,50$71,50$71,50$286,00Arancel*$715,00$715,00$1.195,00$1.195,00$3.820,00",['no hay precio :('],['no hay precio :('],Modalidad: presencial y virtual,Duración: 4 semestres,cordillera,https://www.cordillera.edu.ec/oferta-academica/tecnologia-superior-en-marketing-digital-y-comercio-electronico/,2024-05-06 15:48:34.107336
5,Tecnología Superior en Administración Financiera,"Prueba de Admisión - Emotional Cognitive CordilleraTest - ECCT$55,00Inscripción$7,50$7,50Matrícula$71,50$71,50$71,50$71,50$286,00Arancel*$715,00$715,00$1.195,00$1.195,00$3.820,00",['no hay precio :('],['no hay precio :('],Modalidad: Presencial.,Duración: 4 semestres,cordillera,https://www.cordillera.edu.ec/oferta-academica/tecnologia-superior-en-administracion-financiera/,2024-05-06 15:48:38.199976
6,Tecnología Superior en Gestión del Talento Humano,"Prueba de Admisión - Emotional Cognitive CordilleraTest - ECCT$55,00Inscripción$7,50$7,50Matrícula$71,50$71,50$71,50$71,50$286,00Arancel*$715,00$715,00$1.195,00$1.195,00$3.820,00",['no hay precio :('],['no hay precio :('],Modalidad: Presencial,Duración: 4 semestres,cordillera,https://www.cordillera.edu.ec/oferta-academica/tecnologia-superior-en-gestion-del-talento-humano/,2024-05-06 15:48:39.177729
7,Tecnología Superior en Asistencia en Farmacias,"Prueba de Admisión - Emotional Cognitive CordilleraTest - ECCT$55,00Inscripción$7,50$7,50Matrícula$71,50$71,50$71,50$71,50$286,00Arancel*$715,00$715,00$1.195,00$1.195,00$3.820,00",['no hay precio :('],['no hay precio :('],Modalidad: Presencial,Duración: 4 semestres,cordillera,https://www.cordillera.edu.ec/oferta-academica/tecnologia-superior-en-asistencia-en-farmacias/,2024-05-06 15:48:40.109216
8,Tecnología Superior Universitaria en Gestión empresarial,"Prueba de Admisión - Emotional Cognitive CordilleraTest - ECCT$55,00Inscripción$7,50$7,50Matrícula$80,00$80,00$80,00$80,00$320,00Arancel*$800,00$800,00$1.280,00$1.280,00$4.160,00",['no hay precio :('],['no hay precio :('],Modalidad: Virtual,Duración: 4 semestres,cordillera,https://www.cordillera.edu.ec/oferta-academica/tecnologia-superior-universitaria-en-gestion-empresarial-2/,2024-05-06 15:48:41.153022
9,Tecnología Superior en Gestión de Producción y Servicios,"Prueba de Admisión - EmotionalCognitive CordilleraTest - ECCT$55,00Inscripción$7,15$7,15Matrícula$71,50$71,50$71,50$71,50$286,00Arancel*$715,00$715,00$1.195,00$1.195,00$3.820,00",['no hay precio :('],['no hay precio :('],Modalidad: Virtual,Duración: 4 semestres,cordillera,https://www.cordillera.edu.ec/oferta-academica/tecnologia-superior-en-gestion-de-produccion-y-servicios/,2024-05-06 15:48:42.097401
