,nombre_programa,precio_matric,precio_aran,precio_ins,modalidad_prog,duracion,IES,url,fecha_consulta
0,Título: Tecnólogo/a Superior en Desarrollo de Software,Valor Matricula 80$,Valor Aranceles 800$,Valor Matricula 80$,PresencialOnline,2 años (4 ciclos),sudameri,https://sudamericano.edu.ec/tecnologia-superior-en-desarrollo-de-software/,2024-05-10 15:11:41.926879
1,Título: Tecnólogo/a Superior en Diseño Gráfico,Valor Matricula 80$,Valor Aranceles 800$,Valor Matricula 80$,Presencial,2 años (4 ciclos),sudameri,https://sudamericano.edu.ec/tecnologia-superior-en-diseno-grafico/,2024-05-10 15:11:44.586658
2,Título: Tecnólogo/a Superior en Gastronomía,"Valor Matricula 86,40$",Valor Aranceles 864$,"Valor Matricula 86,40$",PresencialSemipresencial,2 años (4 ciclos),sudameri,https://sudamericano.edu.ec/tecnologia-superior-en-gastronomia/,2024-05-10 15:11:51.662246
3,Título: Tecnología Superior en Marketing,Valor Matrícula 80$,Valor Aranceles 800$,Valor Matrícula 80$,Presencial,2 años (4 ciclos),sudameri,https://sudamericano.edu.ec/tecnologia-superior-en-marketing/,2024-05-10 15:11:54.185878
4,Título: Técnico/a Superior en Enfermería,"Valor Matricula 86,40$",Valor Aranceles 864$,"Valor Matricula 86,40$",Presencial,2 años (4 ciclos),sudameri,https://sudamericano.edu.ec/tecnologia-superior-en-enfermeria/,2024-05-10 15:12:00.230227
5,Título: Tecnólogo/a Superior en Turismo,Valor Matrícula 80$,Valor Aranceles 800$,Valor Matrícula 80$,PresencialOnline,2 años (4 ciclos),sudameri,https://sudamericano.edu.ec/tecnologia-superior-en-turismo/,2024-05-10 15:12:02.851037
6,Título: Tecnólogo/a Superior en Administración del Talento Humano,Valor Matrícula 80$,Valor Aranceles 800$,Valor Matrícula 80$,Presencial,2 años (4 ciclos),sudameri,https://sudamericano.edu.ec/tecnologia-administracion-de-talento-humano/,2024-05-10 15:12:08.546926
7,Título: Técnico/a Superior en Competencias Educativas Digitales,Valor Matrícula 80$,Valor Aranceles 800$,Valor Matrícula 80$,PresencialOnline,2 años (4 ciclos),sudameri,https://sudamericano.edu.ec/tecnico-a-superior-en-competencias-educativas-digitales,2024-05-10 15:12:11.508802
8,Título: Tecnólogo/a Superior en Contabilidad y Asesoría Tributaria,Valor Matrícula 80$,Valor Aranceles 800$,Valor Matrícula 80$,Presencial,2 años (4 ciclos),sudameri,https://sudamericano.edu.ec/tecnologo-superior-en-contabilidad-y-asesoria-tributaria/,2024-05-10 15:12:17.062706
9,Título: Tecnólogo/a Superior en Cuidado Canino,Valor Matrícula 80$,Valor Aranceles 800$,Valor Matrícula 80$,Presencial,2 años (4 ciclos),sudameri,https://sudamericano.edu.ec/tecnologoa-superior-en-cuidado-canino,2024-05-10 15:12:20.023460
10,Título: Tecnólogo/a Superior en Marketing Digital y Negocios,Valor Matricula 80$,Valor Aranceles 800$,Valor Matricula 80$,Presencial,2 años (4 ciclos),sudameri,https://sudamericano.edu.ec/tecnologo-a-superior-en-marketing-digital-y-negocios/,2024-05-10 15:12:25.432823
11,Título: Tecnólogo/a Superior en Redes y Telecomunicaciones,Valor Matricula 80$,Valor Aranceles 800$,Valor Matricula 80$,Presencial,2 años (4 ciclos),sudameri,https://sudamericano.edu.ec/tecnologo-a-superior-en-redes-y-telecomunicaciones/,2024-05-10 15:12:27.878833
12,Título: Técnico/a Superior en Asistencia Odontológica,"Valor Matricula 86,40$",Valor Aranceles 864$,"Valor Matricula 86,40$",Presencial,1 año 6 meses (3 ciclos),sudameri,https://sudamericano.edu.ec/tecnico-a-superior-en-asistencia-odontologica/,2024-05-10 15:12:30.294575
13,COORDINADOR,,['no hay precio :('],['no hay precio :('],,['no hay precio :('],sudameri,https://sudamericano.edu.ec/coordinacion-de-investigacion-e-innovacion-tecnologica/,2024-05-10 15:12:36.203823
14,Título: Tecnólogo/a Superior en Contabilidad y Asesoría Tributaria,Valor Matrícula 80$,Valor Aranceles 800$,Valor Matrícula 80$,Presencial,2 años (4 ciclos),sudameri,https://sudamericano.edu.ec/tecnologo-superior-en-contabilidad-y-asesoria-tributaria,2024-05-10 15:12:39.127066
