,nombre_programa,precio,IES,url,fecha_consulta
0,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/page/4/?tipoPrograma=maestria-profesional?programa-info=costos,2023-09-10 16:20:05.046108
1,Comunicación Transmedia,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/comunicacion-transmedia/?programa-info=costos,2023-09-10 16:20:06.199539
2,Derecho de la Economía Digital,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/derecho-de-la-economia-digital/?programa-info=costos,2023-09-10 16:20:07.386013
3,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/area/programa-andino-de-derechos-humanos/?programa-info=costos,2023-09-10 16:20:08.631146
4,Derecho de la Empresa,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/derecho-de-la-empresa/?programa-info=costos,2023-09-10 16:20:09.750360
5,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/?tipoPrograma=Posdoctorado?programa-info=costos,2023-09-10 16:20:10.940506
6,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/universidad/centros-y-programas/?programa-info=costos,2023-09-10 16:20:12.021874
7,Contratación Pública,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/contratacion-publica-2/?programa-info=costos,2023-09-10 16:20:13.126143
8,Comunicación Política con mención en Gobernanza y Procesos Electorales,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/comunicacion-politica-con-mencion-en-gobernanza-y-procesos-electorales/?programa-info=costos,2023-09-10 16:20:14.222953
9,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/page/2/?tipoPrograma=maestria-profesional?programa-info=costos,2023-09-10 16:20:15.881258
10,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/page/3/?tipoPrograma=maestria-profesional?programa-info=costos,2023-09-10 16:20:17.607244
11,Comunicación Estratégica,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/comunicacion-estrategica/?programa-info=costos,2023-09-10 16:20:18.837253
12,Alimentación y Salud Colectiva,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/alimentacion-y-salud-colectiva/?programa-info=costos,2023-09-10 16:20:19.983949
13,Archivística y Sistemas de Gestión Documental,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/archivistica-y-sistemas-de-gestion-documental/?programa-info=costos,2023-09-10 16:20:21.285179
14,Derecho Financiero Bursátil y Seguros,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/derecho-financiero-bursatil-y-seguros/?programa-info=costos,2023-09-10 16:20:22.397945
15,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/page/4/?tipoPrograma=maestria-profesional?programa-info=costos,2023-09-10 16:20:24.056261
16,Derecho Procesal,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/derecho-procesal-2/?programa-info=costos,2023-09-10 16:20:25.329138
17,"Derecho, mención Planificación Tributaria y Fiscalidad Internacional",['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/derecho-con-mencion-en-planificacion-tributaria-y-fiscalidad-internacional/?programa-info=costos,2023-09-10 16:20:26.452101
18,Dirección Integrada de Proyectos de Desarrollo,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/direccion-integrada-de-proyectos-de-desarrollo/?programa-info=costos,2023-09-10 16:20:27.606954
19,Derechos Humanos  con mención en Exigibilidad Estratégica,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/derechos-humanos-con-mencion-en-exigibilidad-estrategica/?programa-info=costos,2023-09-10 16:20:28.781249
