,nombre_programa,precio_matric,precio_aran,precio_ins,modalidad_prog,duracion,IES,url,fecha_consulta
0,Obtén el título deDoctor (a) enAdministración,InversiónUSD $9.080Incluye el 60% del descuento,"
Inversión
USD $9.080
Incluye el 60% del descuento
","
Inversión
USD $9.080
Incluye el 60% del descuento
",ModalidadPresencialCréditos: 300,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/doctorado-en-administracion/,2024-05-10 16:46:33.896754
1,Obtén el título deDoctor (a) enComunicación,InversiónUSD $9.080Incluye el 60% del descuento,"
Inversión
USD $9.080
Incluye el 60% del descuento
","
Inversión
USD $9.080
Incluye el 60% del descuento
",ModalidadPresencialCréditos: 300,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/comunicacion/,2024-05-10 16:46:34.453326
2,Obtén el título deDoctor (a) enDerecho,InversiónUSD $9.080Incluye el 60% del descuento,"
Inversión
USD $9.080
Incluye el 60% del descuento
","
Inversión
USD $9.080
Incluye el 60% del descuento
",ModalidadPresencialCréditos: 300,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/doctorado-derecho/,2024-05-10 16:46:35.047977
3,"Obtén el título deMagíster en Cambio Climático,Sustentabilidad y Desarrollo",InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadEn líneaCréditos: 118,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/cambio-climatico-sustentabilidad-y-desarrollo/,2024-05-10 16:46:35.616558
4,Obtén el título deMagíster en Comunicación conmención en Visualidad y Diversidades,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadPresencialCréditos: 118,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/comunicacion-con-mencion-en-visualidad-y-diversidades/,2024-05-10 16:46:36.190326
5,"Obtén el título deMagíster en Derecho y Sociedad con menciones en Derecho, Identidades y Acción Colectiva/Derecho y Economía en América Latina",InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadPresencialCréditos: 118,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/derecho-2/,2024-05-10 16:46:36.831341
6,Obtén el título deMagíster en Ecología Política yAlternativas al Desarrollo,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadSemipresencialCréditos: 118,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/ecologia-politica-y-alternativas-al-desarrollo/,2024-05-10 16:46:37.474199
7,Obtén el título deMagíster en Estudios de la Cultura con mención en Estudios Interculturales/Artes y Estudios Visuales/Género y Diversidades,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadPresencialCréditos: 118,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/estudios-de-la-cultura/,2024-05-10 16:46:38.154628
8,Obtén el título deMagíster en Historia,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadPresencialCréditos: 118,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/historia/,2024-05-10 16:46:38.695632
9,Obtén el título deMagíster en Literatura con mención en Literatura Latinoamericana/Escritura Creativa,InversiónUSD $4.760Incluye el 60% del descuento,"
Inversión
USD $4.760
Incluye el 60% del descuento
","
Inversión
USD $4.760
Incluye el 60% del descuento
",ModalidadPresencialCréditos: 118,['no hay precio :('],usboli,https://www.uasb.edu.ec/programa/literatura/,2024-05-10 16:46:42.442563
