,nombre_programa,precio,IES,url,fecha_consulta
0,"Estudia tuMáster en Gestión de Proyectos, completamente online en la Universidad Estatal de Milagro.",USD 2.900,unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-gestion-de-proyectos/,2023-09-09 22:45:03.951731
1,"Estudia tuMáster en Contabilidad y Auditoría con Mención en Gestión Tributaria, completamente online en la Universidad Estatal de Milagro.",USD 2.500,unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-contabilidad-y-auditoria-enlinea/,2023-09-09 22:45:04.448752
2,"Estudia tuMáster en Administración Pública con mención en Desarrollo Institucional, completamente online en la Universidad Estatal de Milagro.",USD 2.900,unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-administracion-publica-enlinea/,2023-09-09 22:45:04.969285
3,"Estudia tuMáster en Intervención Psicosocial, completamente online en la Universidad Estatal de Milagro.",USD 2.000,unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-intervencion-psicosocial-enlinea/,2023-09-09 22:45:05.565408
4,"Estudia tuMáster en Gestióndel Talento Humanocon mención en Desarrollo Organizacional, completamente online en la Universidad Estatal de Milagro.",USD 2.900,unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-gestion-del-talento-humano-enlinea/,2023-09-09 22:45:06.121264
5,Estudia tuMáster en Marketingen la Universidad Estatal de Milagro.,['<h1>no hay precio</h1>'],unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-marketing/,2023-09-09 22:45:06.667551
6,"Estudia tuMáster en Administración de Empresas con mención en Management, completamente online en la Universidad Estatal de Milagro.",USD 2.900,unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-administracion-de-empresas-mba-enlinea,2023-09-09 22:45:07.181459
7,"Estudia tuMáster en Relaciones Internacionales con mención en Negociación y Cooperación Internacional, completamente online en la Universidad Estatal de Milagro.",USD 2.900,unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-relaciones-internacionales-con-mencion-en-negociacion-y-cooperacion-internacional-en-linea/,2023-09-09 22:45:07.678253
8,Estudia tuMáster en Química Aplicadaen la Universidad Estatal de Milagro.,['<h1>no hay precio</h1>'],unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-quimica-aplicada/,2023-09-09 22:45:08.153160
9,,['<h1>no hay precio</h1>'],unemi,https://www.unemi.edu.ec/#maestrias,2023-09-09 22:45:08.631134
10,"Estudia tuMáster en Economía,completamente online en la Universidad Estatal de Milagro.",USD 2.500,unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-economia-enlinea/,2023-09-09 22:45:09.174032
11,"Estudia tuMáster en Nutrición y Dietética con mención en Nutrición Comunitaria, completamente online en la Universidad Estatal de Milagro.",['<h1>no hay precio</h1>'],unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-nutricion-y-dietetica/,2023-09-09 22:45:09.685319
12,Estudia tuMáster en Biotecnologíaen la Universidad Estatal de Milagro.,['<h1>no hay precio</h1>'],unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-biotecnologia/,2023-09-09 22:45:10.288256
13,"Estudia tuMáster en Educación de Bachillerato, completamente online en la Universidad Estatal de Milagro.",USD 2.000,unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-educacion-de-bachillerato-enlinea,2023-09-09 22:45:10.789390
14,"Estudia tuMáster en Psicología con mención en Neuropsicología del Aprendizaje, completemente online en la Universidad Estatal de Milagro.",Psicología ,unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-psicologia-neuro-enlinea/,2023-09-09 22:45:11.304263
15,"Estudia tuMáster en Comunicación Estratégica con mención en Comunicación Digital, completamente online en la Universidad Estatal de Milagro.",USD 2.200,unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-comunicacion-estrategica-enlinea-2/,2023-09-09 22:45:11.804140
16,"Estudia tuMáster en Educación Inclusiva con mención en IntervenciónPsicoeducativa, completamente online en la Universidad Estatal de Milagro.",USD 2.000,unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-educacion-inclusiva-enlinea/,2023-09-09 22:45:12.356825
17,"Estudia tuMáster en Salud Pública,completamente online en la Universidad Estatal de Milagro.",USD 3.000,unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-salud-publica-enlinea/,2023-09-09 22:45:12.879362
18,"Estudia tuMáster en Agronegocios Sostenibles,completamente online en la Universidad Estatal de Milagro.",USD 2.900,unemi,https://www.unemi.edu.ec/index.php/maestrias/master-en-agronegocios-sostenibles-enlinea/,2023-09-09 22:45:13.360662
19,,['<h1>no hay precio</h1>'],unemi,https://www.unemi.edu.ec/index.php/maestrias/,2023-09-09 22:45:13.980145
