,nombre_programa,precio,IES,url,fecha_consulta
0,Especialista en Ortopedia y Traumatología,"$38.029
Matrícula: $3.457
Aranceles: $34.572",usfq,https://www.usfq.edu.ec/es/posgrados/especializacion-en-ortopedia-y-traumatologia,2023-09-09 22:45:58.057570
1,Magíster en Economía con Mención en Economía Computacional,"$11.213
Matrícula: $1.019
Aranceles: $10.194",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-economia,2023-09-09 22:46:00.019974
2,"Magíster en Nanoelectrónica, Mención en Sistema Embebido e Integración","$10.397
Matrícula: $926
Arancel: $9.471",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-nanoelectronica,2023-09-09 22:46:01.523392
3,Especialista en Neonatología,"$16,000.00
Matrícula: $1,454.55
Aranceles: $14,545.45 ",usfq,https://www.usfq.edu.ec/es/posgrados/especializacion-medica-en-neonatologia,2023-09-09 22:46:02.959719
4,Magíster en Administración de Empresas,"Matrícula: $1,952 
Arancel: $19,525
Total: $21,477",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-administracion-de-empresas-mba,2023-09-09 22:46:03.409592
5,Magister en Inteligencia Artificial,$7.250Matrícula: $659Aranceles: $6.591,usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-inteligencia-artificial,2023-09-09 22:46:05.169112
6,Magíster en Química con mención en Físico-Química,"$18.348
Matrícula: $1.667
Arancel: $16.681",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-quimica-mencion-en-fisico-quimica,2023-09-09 22:46:06.876035
7,"Magíster en Gestión Ambiental, Mención en Manejo de Socioecosistemas","$9.500
Matrícula: $863
Aranceles: $8.637",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-gestion-ambiental,2023-09-09 22:46:08.605142
8,"Magíster en Ingeniería Civil, Mención Diseño y Construcción de Estructuras Sismo Resistentes","$16.103
Matrícula: $1.463
Aranceles: $14.640",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-ingenieria-civil,2023-09-09 22:46:09.169808
9,Especialista en Cirugía Maxilofacial,"$52.000
Arancel: $47.273
Matrícula: $4.727",usfq,https://www.usfq.edu.ec/es/posgrados/especializacion-en-cirugia-maxilofacial,2023-09-09 22:46:11.190232
10,Magíster en Litigio y Arbitraje Internacional,"$15.290
Matrícula: $1.386
Arancel: $13.904",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-litigio-y-arbitraje-internacional,2023-09-09 22:46:13.055700
11,Especialista en Imagenología,"$28.521
Matrícula: $2.592
Arancel: $25.929",usfq,https://www.usfq.edu.ec/es/posgrados/especializacion-en-imagenologia,2023-09-09 22:46:13.648081
12,Maestría en Gerencia de Datos y Negocios,"$9.600
Matrícula $872
Arancel $8.728",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-gerencia-de-datos-y-negocios,2023-09-09 22:46:17.836093
13,"Magíster en Ingeniería Industrial, Mención Calidad y Productividad","$14.270
Matrícula: $1.297
Arancel: $12.973",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-ingenieria-industrial,2023-09-09 22:46:21.842509
14,Especialización en Rehabilitación Oral y Prótesis Implanto Asistida,"$35.000
Matrícula: $ 3.181
Arancel: $31.819",usfq,https://www.usfq.edu.ec/es/posgrados/especializacion-en-rehabilitacion-oral,2023-09-09 22:46:24.624376
15,Magíster en Ecología Tropical y Conservación,"$14.729
Matrícula: $1.339
Aranceles: $13.390",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-ecologia-tropical-y-conservacion,2023-09-09 22:46:26.538769
16,Especialista en Periodoncia e Implantología Quirúrgica,"$35.678
Matrícula: $3.243
Arancel: $32.435",usfq,https://www.usfq.edu.ec/es/posgrados/especializacion-en-periodoncia-e-implantologia-quirurgica,2023-09-09 22:46:29.007568
17,Magíster en Finanzas,"Matrícula: $1.172,61
Arancel: $11.727,39
Total: $12.900",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-finanzas,2023-09-09 22:46:31.031566
18,Especialista en Cirugía Pediátrica,"$47.534
Matrícula: $4.321
Arancel: $43.213",usfq,https://www.usfq.edu.ec/es/posgrados/especializacion-en-cirugia-pediatrica,2023-09-09 22:46:31.516553
19,Magíster en Ciencia y Tecnología de Alimentos,"$14.882
Matrícula: $1.352
Aranceles: $13.530",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-ciencia-y-tecnologia-de-alimentos,2023-09-09 22:46:33.405640
20,Especialista en Neurocirugía,"Costo total: $47.535
Matrícula: $4.321
Aranceles: $43.214",usfq,https://www.usfq.edu.ec/es/posgrados/especializacion-medica-en-neurocirugia,2023-09-09 22:46:34.897507
21,Magíster en Física,"$10.193
Matrícula: $926
Arancel: $9.267",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-fisica,2023-09-09 22:46:36.607538
22,Magister en Ciencia de Datos,"$7.250
Matrícula: $659
Aranceles: $6.591",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-ciencia-de-datos,2023-09-09 22:46:38.469887
23,Especialista en Ortodoncia,"$30.582
Matrícula: $2.780
Arancel: $27.802Aplica para cohortes nuevas - año académico 2022-2023",usfq,https://www.usfq.edu.ec/es/posgrados/especializacion-en-ortodoncia,2023-09-09 22:46:40.479492
24,Magíster en Salud Pública,"$13.251
Matrícula: $1.202
Arancel: $12.049",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-salud-publica-mph,2023-09-09 22:46:42.149924
25,Especialista en Cuidados Intensivos Pediátricos,"$19.011
Matrícula: $1.727
Arancel: $17.284",usfq,https://www.usfq.edu.ec/es/posgrados/especializacion-en-cuidados-intensivos-pediatricos,2023-09-09 22:46:42.656832
26,Especialista en Derecho y Economía de la Competencia,"Costo total: $6 000.00
Aranceles: $5 455.00
Matrícula: $545.00",usfq,https://www.usfq.edu.ec/es/posgrados/especializacion-en-derecho-y-economia-de-la-competencia,2023-09-09 22:46:44.515496
27,"Magíster en Psicología Clínica, Mención Salud Mental para Niños, Adultos y Familias","$14.271
Matrícula: $1.297
Arancel: $12.974",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-psicologia-clinica,2023-09-09 22:46:46.254596
28,,['<h1>no hay precio</h1>'],usfq,https://www.usfq.edu.ec/es/posgrados,2023-09-09 22:46:46.687372
29,Magíster en Derecho Administrativo,"$15.290
Matrícula: $1.389
Aranceles: $13.901",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-derecho-administrativo,2023-09-09 22:46:48.493392
30,Magíster en Microbiología,"$16.308
Matrícula: $1.482
Arancel: $14.826",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-microbiologia,2023-09-09 22:46:49.916611
31,,['<h1>no hay precio</h1>'],usfq,https://www.usfq.edu.ec/es/admisiones/posgrado,2023-09-09 22:46:50.303752
32,,['<h1>no hay precio</h1>'],usfq,https://www.usfq.edu.ec/es/aranceles-matricula-y-formas-de-pago/posgrados?academic-area=1110&field_date_range_value=All&sort_by=field_date_range_value&sort_order=DESC,2023-09-09 22:46:51.813051
33,Especialista en Anestesiología,"$38.025
Matrícula: $3.456
Arancel: $34.569",usfq,https://www.usfq.edu.ec/es/posgrados/especializacion-en-anestesiologia,2023-09-09 22:46:52.323512
34,,['<h1>no hay precio</h1>'],usfq,https://www.usfq.edu.ec/sites/default/files/2022-04/usfq-manual-del-estudiante-de-posgrado-2021-2022.pdf,2023-09-09 22:47:02.343135
35,Magíster en Dirección de Empresas Constructoras e Inmobiliarias,"$14.270
Matrícula: $1.297
Arancel: $12.973",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-direccion-de-empresas-constructoras-e-inmobiliarias,2023-09-09 22:47:05.282136
36,Especialista en Endodoncia,"$30.000
Aranceles: $ 27.273
Matrícula: $ 2.727",usfq,https://www.usfq.edu.ec/es/posgrados/especializacion-en-endodoncia,2023-09-09 22:47:05.683252
37,,['<h1>no hay precio</h1>'],usfq,https://www.instagram.com/posgradosusfq/,2023-09-09 22:47:06.399264
38,Magíster en Enseñanza de Inglés como Segundo Idioma,"$13.769
Matrícula: $1.251
Aranceles: $12.518*",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-ensenanza-de-ingles-como-segundo-idioma,2023-09-09 22:47:08.135462
39,Especialista en Odontopediatría,"$30.582
Matrícula: $2.780
Arancel: $27.802Becas del 18% que aplican para la cohorte 2023",usfq,https://www.usfq.edu.ec/es/posgrados/especializacion-en-odontopediatria,2023-09-09 22:47:09.947454
40,,['<h1>no hay precio</h1>'],usfq,https://www.usfq.edu.ec/sites/default/files/2022-05/asistencia-financiera-posgrados.pdf,2023-09-09 22:47:12.938240
41,"Doctor(a) en Microbiología, equivalente a Ph.D.","$32.620,80
Matrícula: $2.964,42
Arancel: $29.656,38",usfq,https://www.usfq.edu.ec/es/posgrados/doctorado-en-microbiologia,2023-09-09 22:47:15.904341
42,"Magíster en Seguridad, Salud y Ambiente",$15.000,usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-seguridad-salud-y-ambiente,2023-09-09 22:47:18.284848
43,Magister en Soluciones Integrales para la Gestión del Agua,$7.600,usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-soluciones-integrales-para-la-gestion-del-agua,2023-09-09 22:47:20.440636
44,Magíster en Gerencia de Marketing,"Matrícula: $1.172,61
Arancel: $11.727,39
Total: $12.900",usfq,https://www.usfq.edu.ec/es/posgrados/maestria-en-mercadotecnia-mcd,2023-09-09 22:47:22.570714
